interest,registration,vote_2016,vote_intention,vote_2020,ideo5,employment,foreign_born,gender,census_region,hispanic,race,household_income,education,state,congress_district,age,vote_trump,vote_biden,education_level,income_level
Most of the time,Don't know,"Did not vote, but was eligible",Not sure,Donald Trump,Not Sure,not in labor force,The United States,Female,West,Not Hispanic,white,"Less than $14,999",Completed some high school,nevada,NV01,30,1,0,NA,0
Most of the time,Registered,"Did not vote, but was eligible",Not sure,I am not sure/don't know,Not Sure,employed,The United States,Female,West,Mexican,white,"$80,000 to $84,999",Other post high school vocational training,california,,45,0,0,4,14
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,employed,The United States,Male,South,Not Hispanic,white,"$55,000 to $59,999",High school graduate,kentucky,KY05,62,1,0,3,9
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",I am not sure/don't know,Moderate,employed,The United States,Female,West,Not Hispanic,japanese,"$25,000 to $29,999","College Degree (such as B.A., B.S.)",california,CA50,28,0,0,7,3
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,employed,The United States,Female,West,Cuban,white,"$45,000 to $49,999","Completed some college, but no degree",california,CA41,33,1,0,5,7
Only now and then,Not registered,"Did not vote, but was eligible","No, I will not vote but I am eligible",I would not vote,Moderate,not in labor force,The United States,Female,Northeast,Not Hispanic,white,"$30,000 to $34,999","Completed some college, but no degree",new york,NY21,47,0,0,5,4
Only now and then,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,employed,The United States,Male,South,Not Hispanic,black/african american/negro,"$100,000 to $124,999","Completed some college, but no degree",texas,TX03,53,0,1,5,18
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Conservative,employed,The United States,Male,Midwest,Not Hispanic,white,"$50,000 to $54,999",Other post high school vocational training,illinois,IL16,44,0,1,4,8
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Liberal,employed,The United States,Male,Northeast,Not Hispanic,white,"$200,000 to $249,999",Masters degree,new york,,38,1,0,9,22
Hardly at all,Not registered,"Did not vote, but was eligible","No, I will not vote but I am eligible",Joe Biden,Moderate,unemployed,The United States,Male,Northeast,Not Hispanic,white,"Less than $14,999",Completed some high school,new york,NY19,32,0,1,NA,0
Some of the time,Registered,Hillary Clinton,"No, I am not eligible to vote",I am not sure/don't know,Conservative,employed,The United States,Male,South,Not Hispanic,black/african american/negro,"$100,000 to $124,999","Completed some graduate, but no degree",louisiana,IL14,19,0,0,8,18
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Donald Trump,Conservative,not in labor force,The United States,Male,West,Not Hispanic,white,"$45,000 to $49,999","Completed some college, but no degree",nevada,NV03,66,1,0,5,7
Hardly at all,Registered,Hillary Clinton,"Yes, I will vote",Donald Trump,Liberal,not in labor force,The United States,Male,West,Not Hispanic,white,"Less than $14,999","Completed some college, but no degree",idaho,ID02,46,1,0,5,0
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,employed,The United States,Male,South,Not Hispanic,white,"$80,000 to $84,999","College Degree (such as B.A., B.S.)",georgia,GA12,35,1,0,7,14
Most of the time,Registered,Gary Johnson,"Yes, I will vote",Someone else,Conservative,employed,The United States,Male,Midwest,Not Hispanic,white,"$50,000 to $54,999","Completed some college, but no degree",iowa,IA03,50,0,0,5,8
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Conservative,unemployed,The United States,Female,South,Not Hispanic,black/african american/negro,"$70,000 to $74,999",Completed some high school,georgia,GA12,35,0,1,NA,12
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,employed,The United States,Male,West,Not Hispanic,white,"$40,000 to $44,999","Completed some college, but no degree",colorado,,53,1,0,5,6
Only now and then,Registered,"Did not vote, but was eligible","Yes, I will vote",Donald Trump,Moderate,employed,The United States,Female,West,Not Hispanic,white,"$30,000 to $34,999",Completed some high school,oregon,OR05,52,1,0,NA,4
Only now and then,Not registered,Was not eligible to vote,"No, I am not eligible to vote",I would not vote,Liberal,employed,The United States,Male,South,Not Hispanic,white,"$45,000 to $49,999",Other post high school vocational training,florida,FL14,31,0,0,4,7
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Donald Trump,Moderate,employed,The United States,Female,West,Not Hispanic,american indian or alaska native,"$85,000 to $89,999",Associate Degree,washington,WA09,65,1,0,6,15
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,employed,The United States,Male,West,Not Hispanic,white,"$75,000 to $79,999","Completed some college, but no degree",idaho,ID01,74,0,1,5,13
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,employed,The United States,Male,West,Not Hispanic,white,"$250,000 and above",Masters degree,california,CA37,45,0,1,9,23
Only now and then,Registered,Don't recall,"Yes, I will vote",Joe Biden,Moderate,employed,The United States,Female,Northeast,Mexican,"other race, nec","$75,000 to $79,999",Completed some high school,new york,NY18,24,0,1,NA,13
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,not in labor force,The United States,Male,Midwest,Not Hispanic,black/african american/negro,"$20,000 to $24,999",Other post high school vocational training,michigan,MI13,61,0,1,4,2
Most of the time,Registered,"Did not vote, but was eligible","Yes, I will vote",I am not sure/don't know,Conservative,not in labor force,The United States,Female,West,Not Hispanic,white,"Less than $14,999",Completed some high school,california,CA02,66,0,0,NA,0
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,employed,The United States,Male,South,Not Hispanic,white,"$100,000 to $124,999","College Degree (such as B.A., B.S.)",florida,FL12,49,1,0,7,18
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,employed,The United States,Male,West,Not Hispanic,white,"$30,000 to $34,999",Associate Degree,colorado,,29,1,0,6,4
Only now and then,Registered,"Did not vote, but was eligible","Yes, I will vote",Donald Trump,Not Sure,unemployed,The United States,Male,South,Not Hispanic,white,"Less than $14,999",Completed some high school,louisiana,LA05,30,1,0,NA,0
Some of the time,Registered,"Did not vote, but was eligible",Not sure,I am not sure/don't know,Not Sure,employed,The United States,Female,South,Not Hispanic,white,"$20,000 to $24,999",Other post high school vocational training,florida,FL03,33,0,0,4,2
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Not Sure,not in labor force,The United States,Female,South,Not Hispanic,white,"$30,000 to $34,999","Completed some college, but no degree",texas,TX13,36,0,1,5,4
Some of the time,Registered,Was not eligible to vote,"Yes, I will vote",Joe Biden,Moderate,employed,The United States,Male,South,Mexican,white,"$40,000 to $44,999","Completed some college, but no degree",florida,FL25,20,0,1,5,6
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,employed,The United States,Female,West,Not Hispanic,other asian or pacific islander,"$150,000 to $174,999",Masters degree,arizona,AZ06,38,0,1,9,20
Most of the time,Not registered,Donald Trump,"Yes, I will vote",I am not sure/don't know,Very Liberal,employed,Another country,Female,South,Cuban,white,"Less than $14,999",Associate Degree,texas,TX27,49,0,0,6,0
Some of the time,Registered,Someone else:,"No, I will not vote but I am eligible",Donald Trump,Moderate,employed,The United States,Female,South,Not Hispanic,black/african american/negro,"$125,000 to $149,999",High school graduate,texas,TX06,20,1,0,3,19
Some of the time,Registered,"Did not vote, but was eligible","No, I will not vote but I am eligible",I would not vote,Not Sure,unemployed,The United States,Female,Midwest,Not Hispanic,white,"$30,000 to $34,999",Completed some high school,ohio,OH02,26,0,0,NA,4
Some of the time,Don't know,Was not eligible to vote,"No, I am not eligible to vote",Joe Biden,Liberal,employed,Another country,Female,Northeast,Not Hispanic,white,"$100,000 to $124,999",Masters degree,massachusetts,MA05,25,0,1,9,18
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,not in labor force,The United States,Male,West,Not Hispanic,white,"$70,000 to $74,999","Completed some college, but no degree",washington,WA03,39,0,1,5,12
Most of the time,Not registered,Was not eligible to vote,"No, I am not eligible to vote",I would not vote,Conservative,unemployed,Another country,Female,West,Not Hispanic,chinese,"$70,000 to $74,999",Associate Degree,california,CA45,47,0,0,6,12
Some of the time,Registered,Gary Johnson,"Yes, I will vote",I am not sure/don't know,Moderate,not in labor force,The United States,Female,South,Not Hispanic,white,"$55,000 to $59,999","Completed some college, but no degree",oklahoma,OK04,63,0,0,5,9
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Donald Trump,Very Liberal,employed,The United States,Male,Northeast,Not Hispanic,white,"$100,000 to $124,999","College Degree (such as B.A., B.S.)",new york,NY12,29,1,0,7,18
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,employed,The United States,Male,South,Not Hispanic,white,"$45,000 to $49,999",Masters degree,florida,FL16,55,1,0,9,7
Some of the time,Registered,Was not eligible to vote,"Yes, I will vote",Donald Trump,Not Sure,unemployed,The United States,Female,South,Not Hispanic,white,"Less than $14,999",Completed some high school,mississippi,MS02,18,1,0,NA,0
Some of the time,Registered,Hillary Clinton,Not sure,Joe Biden,Conservative,employed,The United States,Female,South,Not Hispanic,black/african american/negro,"$50,000 to $54,999",High school graduate,north carolina,NC08,52,0,1,3,8
Some of the time,Registered,"Did not vote, but was eligible","Yes, I will vote",Donald Trump,Moderate,not in labor force,The United States,Female,South,Not Hispanic,white,"$15,000 to $19,999",High school graduate,texas,TX13,49,1,0,3,1
Some of the time,Registered,"Did not vote, but was eligible",Not sure,I am not sure/don't know,Moderate,employed,The United States,Female,West,Not Hispanic,white,"$25,000 to $29,999","Completed some college, but no degree",oregon,OR02,23,0,0,5,3
Some of the time,Not registered,Don't recall,Not sure,I am not sure/don't know,Conservative,not in labor force,The United States,Male,West,Not Hispanic,white,"$15,000 to $19,999","Completed some college, but no degree",colorado,CO06,60,0,0,5,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,employed,The United States,Female,South,Not Hispanic,white,"$15,000 to $19,999",High school graduate,virginia,VA06,57,1,0,3,1
Some of the time,Registered,Don't recall,"Yes, I will vote",Joe Biden,Very Liberal,unemployed,The United States,Female,Midwest,Not Hispanic,white,"Less than $14,999","Completed some college, but no degree",wisconsin,WI01,22,0,1,5,0
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,employed,The United States,Male,South,Not Hispanic,white,"$45,000 to $49,999",High school graduate,north carolina,NC05,57,1,0,3,7
Only now and then,Registered,"Did not vote, but was eligible",Not sure,I am not sure/don't know,Not Sure,not in labor force,The United States,Male,West,Not Hispanic,white,"$20,000 to $24,999",High school graduate,oregon,OR02,42,0,0,3,2
Only now and then,Registered,Donald Trump,Not sure,I am not sure/don't know,Very Conservative,not in labor force,The United States,Female,South,Not Hispanic,white,"$15,000 to $19,999","Completed some college, but no degree",mississippi,MS02,58,0,0,5,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,employed,The United States,Female,South,Not Hispanic,white,"$45,000 to $49,999","Completed some college, but no degree",texas,TX20,62,0,1,5,7
Only now and then,Not registered,"Did not vote, but was eligible",Not sure,I am not sure/don't know,Moderate,not in labor force,The United States,Male,Midwest,Not Hispanic,white,"$65,000 to $69,999",High school graduate,illinois,,44,0,0,3,11
Only now and then,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,employed,The United States,Female,South,Not Hispanic,white,"$35,000 to $39,999",Other post high school vocational training,north carolina,NC05,31,0,1,4,5
Hardly at all,Registered,"Did not vote, but was eligible","Yes, I will vote",Donald Trump,Moderate,not in labor force,The United States,Female,Midwest,Not Hispanic,white,"$25,000 to $29,999",Associate Degree,ohio,OH01,76,1,0,6,3
Hardly at all,Not registered,"Did not vote, but was eligible","No, I will not vote but I am eligible",I would not vote,Not Sure,NA,The United States,Female,Northeast,Not Hispanic,white,"Less than $14,999",High school graduate,new york,NY22,64,0,0,3,0
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",I am not sure/don't know,Moderate,unemployed,The United States,Male,West,Not Hispanic,white,"$20,000 to $24,999","Completed some college, but no degree",california,CA43,41,0,0,5,2
Some of the time,Registered,Donald Trump,"Yes, I will vote",I am not sure/don't know,Very Conservative,unemployed,The United States,Female,South,Not Hispanic,white,"$15,000 to $19,999","Completed some college, but no degree",florida,FL13,64,0,0,5,1
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Conservative,employed,The United States,Male,West,Other Hispanic,white,"$35,000 to $39,999","Completed some college, but no degree",utah,UT01,27,0,1,5,5
Hardly at all,Registered,Gary Johnson,"No, I will not vote but I am eligible",Joe Biden,Liberal,employed,The United States,Female,South,Mexican,"other race, nec","$250,000 and above",Associate Degree,mississippi,MS01,19,0,1,6,23
Some of the time,Registered,"Did not vote, but was eligible","No, I will not vote but I am eligible",Donald Trump,Very Liberal,employed,The United States,Male,Midwest,Not Hispanic,white,"Less than $14,999",High school graduate,indiana,IN03,41,1,0,3,0
Some of the time,Registered,"Did not vote, but was eligible","Yes, I will vote",Joe Biden,Liberal,employed,The United States,Female,South,Mexican,white,"Less than $14,999",High school graduate,texas,TX16,27,0,1,3,0
Most of the time,Not registered,"Did not vote, but was eligible","No, I am not eligible to vote",I would not vote,Not Sure,not in labor force,The United States,Male,South,Not Hispanic,black/african american/negro,"$200,000 to $249,999",Completed some high school,georgia,GA05,19,0,0,NA,22
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,employed,Another country,Female,West,Not Hispanic,white,"$100,000 to $124,999",Masters degree,california,CA13,66,1,0,9,18
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,employed,The United States,Male,South,Panamanian,"other race, nec","$50,000 to $54,999","Completed some college, but no degree",texas,TX15,40,1,0,5,8
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,employed,The United States,Male,South,Not Hispanic,black/african american/negro,"$45,000 to $49,999","College Degree (such as B.A., B.S.)",south carolina,SC05,43,0,1,7,7
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,unemployed,The United States,Male,Midwest,Not Hispanic,white,"$85,000 to $89,999",High school graduate,iowa,IA04,34,1,0,3,15
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,not in labor force,The United States,Male,South,Not Hispanic,white,"$55,000 to $59,999","Completed some college, but no degree",florida,FL08,75,1,0,5,9
Some of the time,Not registered,Was not eligible to vote,"No, I am not eligible to vote",I would not vote,Not Sure,unemployed,The United States,Male,Northeast,Not Hispanic,white,"Less than $14,999",High school graduate,pennsylvania,PA09,26,0,0,3,0
Hardly at all,Not registered,"Did not vote, but was eligible","No, I will not vote but I am eligible",I am not sure/don't know,Moderate,employed,The United States,Female,South,Not Hispanic,american indian or alaska native,"$25,000 to $29,999",High school graduate,oklahoma,OK02,48,0,0,3,3
Some of the time,Not registered,"Did not vote, but was eligible","No, I will not vote but I am eligible",Joe Biden,Conservative,unemployed,The United States,Female,West,Mexican,"other race, nec","Less than $14,999",High school graduate,california,CA03,28,0,1,3,0
Most of the time,Registered,Jill Stein,"Yes, I will vote",Donald Trump,Moderate,employed,The United States,Male,Northeast,Not Hispanic,white,"$45,000 to $49,999",Other post high school vocational training,pennsylvania,PA02,65,1,0,4,7
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Not Sure,employed,The United States,Female,South,Not Hispanic,white,"$15,000 to $19,999","College Degree (such as B.A., B.S.)",louisiana,LA03,40,1,0,7,1
Some of the time,Registered,Gary Johnson,Not sure,I am not sure/don't know,Moderate,employed,The United States,Male,West,Not Hispanic,white,"Less than $14,999",High school graduate,california,CA09,60,0,0,3,0
Some of the time,Registered,Was not eligible to vote,"Yes, I will vote",Someone else,Not Sure,employed,The United States,Female,South,Not Hispanic,white,"$50,000 to $54,999",Completed some high school,florida,FL08,19,0,0,NA,8
Only now and then,Not registered,Donald Trump,"No, I am not eligible to vote",Donald Trump,Moderate,unemployed,The United States,Male,South,Not Hispanic,white,"Less than $14,999",High school graduate,virginia,VA09,36,1,0,3,0
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,employed,The United States,Male,West,Mexican,"other race, nec","$35,000 to $39,999","Completed some college, but no degree",california,CA21,39,0,1,5,5
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,employed,The United States,Female,Midwest,Not Hispanic,white,"$80,000 to $84,999",Other post high school vocational training,minnesota,MN07,57,1,0,4,14
Only now and then,Not registered,"Did not vote, but was eligible","No, I will not vote but I am eligible",I would not vote,Not Sure,employed,The United States,Male,West,Not Hispanic,white,"$70,000 to $74,999",Completed some high school,california,CA17,44,0,0,NA,12
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Not Sure,not in labor force,The United States,Male,South,Not Hispanic,white,"Less than $14,999","Completed some college, but no degree",kentucky,KY06,49,0,1,5,0
Only now and then,Registered,Jill Stein,"Yes, I will vote",Someone else,Not Sure,employed,Another country,Female,West,Not Hispanic,black/african american/negro,"$75,000 to $79,999","Completed some college, but no degree",california,CA37,47,0,0,5,13
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,employed,The United States,Male,Northeast,Not Hispanic,white,"Less than $14,999",Masters degree,massachusetts,MA06,47,1,0,9,0
Some of the time,Not registered,"Did not vote, but was eligible","No, I will not vote but I am eligible",I am not sure/don't know,Not Sure,employed,The United States,Female,Northeast,Not Hispanic,white,"$75,000 to $79,999",Completed some high school,pennsylvania,PA13,37,0,0,NA,13
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,employed,The United States,Male,South,Not Hispanic,white,"$40,000 to $44,999","College Degree (such as B.A., B.S.)",texas,TX32,56,1,0,7,6
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,employed,The United States,Male,Northeast,Not Hispanic,"other race, nec","$150,000 to $174,999","College Degree (such as B.A., B.S.)",pennsylvania,PA12,51,1,0,7,20
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,employed,The United States,Male,South,Not Hispanic,white,"$30,000 to $34,999","College Degree (such as B.A., B.S.)",south carolina,SC07,39,0,1,7,4
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Liberal,employed,The United States,Male,Northeast,Not Hispanic,white,"$200,000 to $249,999","Completed some graduate, but no degree",new york,NY10,40,1,0,8,22
Most of the time,Registered,Donald Trump,"Yes, I will vote",Someone else,Moderate,employed,The United States,Male,West,Not Hispanic,white,"$125,000 to $149,999","College Degree (such as B.A., B.S.)",arizona,AZ02,43,0,0,7,19
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Someone else,Moderate,employed,The United States,Male,Northeast,Not Hispanic,white,"$100,000 to $124,999",Masters degree,new jersey,NJ06,73,0,0,9,18
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Conservative,employed,The United States,Male,West,Not Hispanic,white,"$125,000 to $149,999",Masters degree,washington,WA07,40,0,1,9,19
Only now and then,Registered,"Did not vote, but was eligible","No, I will not vote but I am eligible",Donald Trump,Moderate,unemployed,Another country,Female,South,Not Hispanic,"other race, nec","$15,000 to $19,999","Completed some college, but no degree",arkansas,AR03,31,1,0,5,1
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,not in labor force,The United States,Male,Northeast,Not Hispanic,black/african american/negro,"$15,000 to $19,999",Completed some high school,new york,NY08,69,0,1,NA,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,employed,The United States,Male,Northeast,Not Hispanic,white,"$85,000 to $89,999","College Degree (such as B.A., B.S.)",connecticut,CT04,67,0,1,7,15
Some of the time,Not registered,"Did not vote, but was eligible","No, I will not vote but I am eligible",I would not vote,Very Liberal,not in labor force,The United States,Female,West,Not Hispanic,black/african american/negro,"$20,000 to $24,999",Completed some high school,california,CA43,22,0,0,NA,2
Most of the time,Don't know,Hillary Clinton,"Yes, I will vote",Someone else,Conservative,not in labor force,The United States,Female,Northeast,Not Hispanic,black/african american/negro,"$15,000 to $19,999",High school graduate,pennsylvania,PA02,72,0,0,3,1
Hardly at all,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,employed,The United States,Male,Midwest,Not Hispanic,white,"$150,000 to $174,999","Completed some college, but no degree",illinois,IL06,63,1,0,5,20
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,employed,The United States,Male,South,Not Hispanic,white,"$100,000 to $124,999","College Degree (such as B.A., B.S.)",virginia,VA11,73,0,1,7,18
Some of the time,Registered,Donald Trump,"Yes, I will vote",I am not sure/don't know,Very Conservative,not in labor force,The United States,Male,West,Not Hispanic,white,"$125,000 to $149,999","Completed some college, but no degree",california,CA45,70,0,0,5,19
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,not in labor force,The United States,Male,Midwest,Not Hispanic,white,"$175,000 to $199,999",Masters degree,ohio,,59,0,1,9,21
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,employed,The United States,Female,South,Not Hispanic,black/african american/negro,"$40,000 to $44,999",Masters degree,maryland,MD07,48,0,1,9,6
Hardly at all,Registered,"Did not vote, but was eligible",Not sure,I am not sure/don't know,Not Sure,employed,The United States,Male,Midwest,Not Hispanic,white,"$70,000 to $74,999","College Degree (such as B.A., B.S.)",missouri,MO04,29,0,0,7,12
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Liberal,employed,The United States,Male,South,Not Hispanic,white,"$200,000 to $249,999",Masters degree,texas,TX06,42,1,0,9,22
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,unemployed,The United States,Male,West,Not Hispanic,white,"$100,000 to $124,999","Completed some college, but no degree",arizona,AZ02,50,1,0,5,18
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Conservative,employed,The United States,Male,Northeast,Not Hispanic,white,"$75,000 to $79,999","Completed some college, but no degree",pennsylvania,PA02,53,1,0,5,13
Only now and then,Registered,Gary Johnson,"Yes, I will vote",I am not sure/don't know,Moderate,employed,The United States,Male,Midwest,Not Hispanic,white,"$30,000 to $34,999","College Degree (such as B.A., B.S.)",missouri,MO07,29,0,0,7,4
Most of the time,Registered,Donald Trump,"Yes, I will vote",Joe Biden,Liberal,employed,The United States,Male,South,Mexican,"other race, nec","$100,000 to $124,999","College Degree (such as B.A., B.S.)",tennessee,TN08,30,0,1,7,18
Some of the time,Not registered,Was not eligible to vote,"No, I am not eligible to vote",I would not vote,Conservative,employed,The United States,Male,South,Not Hispanic,white,"$200,000 to $249,999",High school graduate,texas,TX33,20,0,0,3,22
Some of the time,Registered,Gary Johnson,"Yes, I will vote",Joe Biden,Moderate,employed,The United States,Male,Northeast,Not Hispanic,white,"$45,000 to $49,999",Completed some high school,new york,,36,0,1,NA,7
Some of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,not in labor force,The United States,Female,South,Not Hispanic,white,"$20,000 to $24,999",High school graduate,west virginia,WV03,58,1,0,3,2
Some of the time,Registered,Don't recall,"Yes, I will vote",Joe Biden,Moderate,not in labor force,The United States,Male,Midwest,Mexican,"other race, nec","$100,000 to $124,999",Associate Degree,ohio,OH08,25,0,1,6,18
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Liberal,not in labor force,The United States,Female,South,Not Hispanic,white,"$40,000 to $44,999","Completed some college, but no degree",north carolina,NC03,64,0,1,5,6
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,not in labor force,The United States,Female,Northeast,Not Hispanic,white,"$35,000 to $39,999","Completed some college, but no degree",pennsylvania,PA01,67,0,1,5,5
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,employed,The United States,Female,Midwest,Other Hispanic,white,"Less than $14,999","Completed some college, but no degree",michigan,MI01,47,1,0,5,0
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",I am not sure/don't know,Very Conservative,not in labor force,The United States,Female,Northeast,Not Hispanic,white,"$50,000 to $54,999",Associate Degree,new jersey,NJ11,51,0,0,6,8
Most of the time,Registered,"Did not vote, but was eligible","Yes, I will vote",Joe Biden,Moderate,not in labor force,The United States,Female,South,Not Hispanic,white,"$90,000 to $94,999",Doctorate degree,north carolina,NC03,37,0,1,10,16
Some of the time,Not registered,"Did not vote, but was eligible","No, I will not vote but I am eligible",I would not vote,Not Sure,employed,The United States,Female,Midwest,Not Hispanic,white,"$15,000 to $19,999",High school graduate,iowa,IA03,39,0,0,3,1
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,employed,The United States,Female,South,Not Hispanic,white,"$100,000 to $124,999",Masters degree,tennessee,TN09,40,0,1,9,18
Most of the time,Registered,Donald Trump,"Yes, I will vote",Joe Biden,Very Liberal,employed,The United States,Male,South,Not Hispanic,white,"$175,000 to $199,999",Masters degree,florida,FL09,37,0,1,9,21
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,not in labor force,The United States,Female,Northeast,Not Hispanic,white,"$35,000 to $39,999",High school graduate,pennsylvania,PA17,74,1,0,3,5
Some of the time,Not registered,"Did not vote, but was eligible","No, I will not vote but I am eligible",I would not vote,Moderate,unemployed,The United States,Female,Northeast,Not Hispanic,white,"$70,000 to $74,999",High school graduate,connecticut,CT03,62,0,0,3,12
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Very Conservative,employed,The United States,Male,Midwest,Not Hispanic,white,"$100,000 to $124,999","College Degree (such as B.A., B.S.)",ohio,OH14,46,1,0,7,18
Most of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Very Liberal,employed,The United States,Female,South,Not Hispanic,white,"$60,000 to $64,999","College Degree (such as B.A., B.S.)",florida,FL22,58,0,1,7,10
Only now and then,Registered,"Did not vote, but was eligible",Not sure,I am not sure/don't know,Moderate,employed,The United States,Female,Northeast,Not Hispanic,white,"$200,000 to $249,999",Doctorate degree,pennsylvania,PA04,61,0,0,10,22
Hardly at all,Not registered,Was not eligible to vote,"No, I will not vote but I am eligible",Joe Biden,Moderate,unemployed,The United States,Male,West,Not Hispanic,white,"$100,000 to $124,999",Completed some high school,california,CA33,19,0,1,NA,18
Only now and then,Not registered,Was not eligible to vote,"No, I am not eligible to vote",I would not vote,Conservative,unemployed,The United States,Female,South,Not Hispanic,white,"Less than $14,999",High school graduate,north carolina,NC12,37,0,0,3,0
Some of the time,Registered,"Did not vote, but was eligible",Not sure,Donald Trump,Conservative,NA,The United States,Female,Midwest,Not Hispanic,white,"$15,000 to $19,999",Completed some high school,kansas,KS03,33,1,0,NA,1
Some of the time,Registered,Hillary Clinton,"Yes, I will vote",Joe Biden,Moderate,not in labor force,The United States,Female,Midwest,Not Hispanic,black/african american/negro,"$15,000 to $19,999","Completed some college, but no degree",missouri,MO01,69,0,1,5,1
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,not in labor force,The United States,Male,Midwest,Not Hispanic,other asian or pacific islander,"$20,000 to $24,999",Associate Degree,michigan,MI08,72,1,0,6,2
Most of the time,Registered,Donald Trump,"Yes, I will vote",Donald Trump,Moderate,employed,The United States,Male,Northeast,Not Hispanic,white,"$175,000 to $199,999",Masters degree,new york,NY12,38,1,0,9,21
Some of the time,Not registered,Was not eligible to vote,Not sure,Joe Biden,Moderate,NA,The United States,Female,Midwest,Not Hispanic,white,"Less than $14,999",High school graduate,michigan,MI02,18,0,1,3,0
Only now and then,Not registered,Hillary Clinton,Not sure,Joe Biden,Very Conservative,not in labor force,The United States,Female,West,Mexican,white,"$45,000 to $49,999",Associate Degree,california,CA03,42,0,1,6,7
